V0,dV,td1,td2,Machining Time mean,Tool Wear mean,Orbiting Time mean,Machining Time fit,Tool Wear fit,Orbiting Time fit,n
6.499999999999998579e+01,8.500000000000000000e+01,2.569440571497271594e+04,2.072568830686638830e+04,5.083041456540425429e+01,8.950000000000000000e+01,1.660120678742726597e+01,5.147554448117826098e+01,7.962456941818875578e+01,1.587301030831122262e+01,1.000000000000000000e+00
6.000000000436845937e+01,6.000000000002814460e+01,2.080503389042453273e+04,2.187393084005439596e+04,7.230654279788335259e+01,6.859999999999999432e+01,2.064152274926503594e+01,7.189148198068552631e+01,6.910390533935574808e+01,1.940328856215567299e+01,1.000000000000000000e+00
6.000000000000000000e+01,6.045606384649088483e+01,1.631228738851597882e+04,4.187869658036885812e+04,6.969917756319046021e+01,6.479999999999999716e+01,1.829331700404485161e+01,6.945414750113148727e+01,7.033284232703516636e+01,1.874065345222857104e+01,1.000000000000000000e+00
7.282251713965540318e+01,7.717748286033601346e+01,2.336864880722128873e+04,2.908364408630324760e+04,5.273144734303156866e+01,8.120000000000000284e+01,1.526903690099716115e+01,5.753967493917107134e+01,7.718873031712649890e+01,1.636855781972316493e+01,1.000000000000000000e+00
6.764323468775197057e+01,8.235676531224721941e+01,2.382400975731046856e+04,3.118305300628082841e+04,5.173565613826115595e+01,8.209999999999999432e+01,1.615189750989278039e+01,5.220085752973605508e+01,7.869797819933128835e+01,1.610473034439879569e+01,1.000000000000000000e+00
6.000000000000000000e+01,8.500000000000000000e+01,1.721270561879126035e+04,3.598116357786174194e+04,5.159712469975153937e+01,7.759999999999999432e+01,1.561957187255223545e+01,5.239781063478589829e+01,7.887918265401684437e+01,1.584049119949957074e+01,1.000000000000000000e+00
8.022392398618141840e+01,6.977607606098735005e+01,1.648233636547130664e+04,3.266010696295938396e+04,5.494371956586837769e+01,7.270000000000000284e+01,1.615379027922948296e+01,5.443717771096350333e+01,7.417393424615289632e+01,1.630184380908444552e+01,1.000000000000000000e+00
7.577948563782535985e+01,7.422051436225777366e+01,1.996689516743694548e+04,3.276789569087131531e+04,5.363699735403061197e+01,7.520000000000000284e+01,1.656668368975321570e+01,5.492818197422855775e+01,7.596859097715599773e+01,1.640378097532371271e+01,1.000000000000000000e+00
7.108447685387208992e+01,7.891552314614591523e+01,1.709702213357838627e+04,3.976886068336416793e+04,5.313351896338992475e+01,6.850000000000000000e+01,1.666610395908355713e+01,5.327138095153058828e+01,7.750656085973395193e+01,1.616441996645909640e+01,3.000000000000000000e+00
6.000000000000074607e+01,8.285372756475680944e+01,2.389836065852837055e+04,3.202996526295916192e+04,6.150484878884420681e+01,7.189999999999999147e+01,1.687383913066652141e+01,5.898532365583388071e+01,7.862112913102336620e+01,1.624059331528981076e+01,3.000000000000000000e+00
7.425160516038144465e+01,7.574839483961854114e+01,2.400195469504925495e+04,2.585004349080983593e+04,6.978224785327911661e+01,5.810000000000000142e+01,1.756570858558018955e+01,6.320538120561076312e+01,7.666946400260985683e+01,1.638878085791068173e+01,1.000000000000000000e+00
6.000000000000000711e+01,7.978953648221499861e+01,1.993263805767051963e+04,2.150768170129011196e+04,5.274501695103115395e+01,7.393333333333333712e+01,1.667809023857116912e+01,5.245796311705020543e+01,7.855989830391676776e+01,1.631021498288967209e+01,3.000000000000000000e+00
